ROR	parent	child	short_name	canonical_name	Ringgold_id	alt_name	alt_name2	ISNI	Orgref	VIAF	Wikidata	Grid	City	State	Country	URL
05h992307	A00034	A00039	Pac NW Natl Lab	Pacific Northwest National Laboratory	6865	Pacific Northwest National Laboratory	Battelle Memorial Institute Richland	0000000122183491	75797	131071343	Q1076890	grid.451303.0	Richland	Washington	United States	http://www.pnnl.gov
041m9xr71	A00034	A00075	Ames Res Lab	Ames Research Laboratory, Iowa	17210	Ames Laboratory		000000010690157X	1372885	261983190	Q4745875	grid.451319.b	Ames	Iowa	United States	http://www.ameslab.gov
03vn1ts68	A00034	A01138	PPPL	Princeton Plasma Physics Laboratory, New Jersey	17217	Princeton University Plasma Physics Laboratory		0000000404056052	39825	124920587	Q1077236	grid.451320.1	Plainsboro Center	New Jersey	United States	http://www.pppl.gov
02kyckx55		A00040	U Akron	University of Akron, Ohio	1076	University of Akron		0000000121868990	597542	152319562	Q1346135	grid.265881.0	Akron	Ohio	United States	http://www.uakron.edu
		A00041	SUNY	State University of New York System	1085	State University of New York	SUNY	0000000446476274								
01q1z8k08	A00041	A00042	Albany	SUNY Albany, New York	1084	University at Albany State University of New York	SUNY Albany	0000000121522404	97024	130187443	Q1140241	grid.189747.4	Albany	New York	United States	http://www.suny.edu
01y64my43	A00041	A00043	Buffalo	SUNY Buffalo, New York	12292	University at Buffalo - The State University of New York	State University of New York at Buffalo	0000000419369887	465598	144187925	Q681025	grid.273335.3	Buffalo	New York	United States	http://www.buffalo.edu
05qghxh33	A00041	A00044	Stony Brook	SUNY Stony Brook, New York	12301	Stony Brook University	State University of New York at Stony Brook	0000000122169681	251208	265892756	Q969850	grid.36425.36	Stony Brook	New York	United States	http://www.stonybrook.edu
01fw8ag12	A00041	A00045	Adirondack	SUNY Adirondack, New York	14625	SUNY Adirondack	Adirondack Community College	0000000103824388	573073		Q7395009	grid.487751.8	Queensbury	New York	United States	http://www.sunyacc.edu
008rmbt77	A00041	A00046	Binghamton	SUNY Binghamton, New York	14787	Binghamton University	State University of New York at Binghamton	0000000121644508	275474	150626351	Q863813	grid.264260.4	Binghamton	New York	United States	http://www.binghamton.edu
0306aeb62	A00041	A00047	Brockport	SUNY Brockport, New York	14788	SUNY Brockport	College at Brockport	0000000107259953				grid.264262.6	Brockport	New York	United States	
00tdmgj61	A00041	A00048	Canton	SUNY Canton, New York	14792	SUNY Canton	SUNY Canton College of Technology	0000000403877959				grid.430477.3	Canton	New York	United States	
02sgpe757	A00041	A00049	Cobleskill	SUNY Cobleskill, New York	14795	SUNY Cobleskill	State University of New York Cobleskill College of Agriculture and Technology	0000000086068110	571020	124538649	Q7603621	grid.440998.8	Cobleskill	New York	United States	http://www.cobleskill.edu
00qv0tw17	A00041	A00050	Syracuse	SUNY Syracuse, New York	14797	SUNY College of Environmental Science and Forestry	State University of New York College of Environmental Science and Forestry at Syracuse	0000000403878708	523198	138341767	Q7603610	grid.264257.0	Syracuse	New York	United States	http://www.esf.edu
05a4pj207	A00041	A00051	Cortland	SUNY Cortland, New York	14800	SUNY Cortland	State University of New York College at Cortland	0000000093400716	527837		Q7603623	grid.264266.2	Cortland	New York	United States	http://www.cortland.edu
017a2yz34	A00041	A00052	Delhi	SUNY Delhi, New York	14801	SUNY Delhi	SUNY College of Technology at Delhi	0000000403879268	571939		Q7603622	grid.422693.8	Delhi	New York	United States	http://www.delhi.edu
010thz337	A00041	A00053	Farmingdale	SUNY Farmingdale, New York	14805	Farmingdale State College	Agricultural and Technical College at Farmingdale	0000000103795927	571037	155126813	Q5435862	grid.422694.f	Farmingdale	New York	United States	http://www.farmingdale.edu
05vrs0r17	A00041	A00054	Fredonia	SUNY Fredonia, New York	14808	SUNY Fredonia	State University of New York Fredonia	0000000403880154	512318		Q6487738	grid.264268.c	Fredonia	New York	United States	http://www.fredonia.edu
03g1q6c06	A00041	A00055	Geneseo	SUNY Geneseo, New York	14811	SUNY Geneseo	State University of New York College at Geneseo	0000000101510940	512335		Q6149540	grid.264269.d	Geneseo	New York	United States	http://www.geneseo.edu
03j3dv688	A00041	A00056	New Paltz	SUNY New Paltz, New York	14821	SUNY New Paltz	State University of New York at New Paltz	0000000086114981	490964	124609976	Q7603625	grid.264270.5	New Paltz	New York	United States	http://www.newpaltz.edu
02r3ym141	A00041	A00057	Oneonta	SUNY Oneonta, New York	14825	State University of New York College at Oneonta	Oneonta College	000000012160918X	532186	132329515	Q4146980	grid.264272.7	Oneonta	New York	United States	http://suny.oneonta.edu
	A00041	A00058	Oswego	SUNY Oswego, New York	14828	State University of New York at Oswego	Mary Walker Health Center	0000000419370159								
033zmj163	A00041	A00059	Plattsburgh	SUNY Plattsburgh, New York	14829	Plattsburgh State	State University College at Plattsburgh	0000000107245877	531562	139490467	Q7603626	grid.264274.1	Plattsburgh	New York	United States	http://www.plattsburgh.edu
032qgrc76	A00041	A00060	Potsdam	SUNY Potsdam, New York	14830	SUNY Potsdam	State University of New York at Potsdam	0000000099000190	532171	146866322	Q7603628	grid.264275.0	Potsdam	New York	United States	http://www.potsdam.edu
057trrr89	A00041	A00061	Purchase	SUNY Purchase, New York	14840	Purchase College	State University of New York Purchase	0000000101651508	394901		Q4359408	grid.264276.3	Purchase	New York	United States	http://www.purchase.edu
01na82s61		A00062	USDA	U.S. Department of Agriculture	1097	US Department of Agriculture	USDA	0000000404786311				grid.417548.b	Washington D.C.	District of Columbia	United States	
05nnk3913		A00063	Albion Coll	Albion College, Michigan	1098	Albion College		000000010728549X	470827	264096384	Q2831920	grid.252000.5	Albion	Michigan	United States	http://www.albion.edu
05fs6jp91		A00064	UNM	University of New Mexico	1104	University of New Mexico	University of New Mexico - Albuquerque	0000000121888502	404570	153711430	Q1190812	grid.266832.b	Albuquerque	New Mexico	United States	http://www.unm.edu
05fs6jp91	A00064	A11172	Dep Phy Ast	University of New Mexico, Department of Physics and Astronomy	A1172											
05fs6jp91	A00064	A11173	Dep Ear Plan Sci	University of New Mexico, Department of Earth and Planetary Sciences	A1173											
01bj3aw27		A00065	Sandia Natl Lab	Sandia National Laboratories, New Mexico	1105	Sandia National Laboratories	SNL	0000000121519272	155558	125491151	Q1736748	grid.85084.31	Washington D.C.	District of Columbia	United States	http://www.sandia.gov
01bj3aw27	A00065	A11214	Livermore	Sandia National Laboratories, Livermore, California	A1214			0000000403888279	47000784			grid.85084.31	Washington D.C.	District of Columbia	United States	http://www.sandia.gov/locations/livermore_california.html
00wfvh315		A00066	Charles Sturt U	Charles Sturt University	1109	Charles Sturt University	Charles Sturt University Albury-Wodonga Campus	0000000403680777	543841	267790609	Q1066188	grid.1037.5	Bathurst	New South Wales	Australia	http://www.csu.edu.au
01k81gt67		A00067	Alfred U	Alfred University, Australia	1132	Alfred University		000000010725292X	345573	144218137	Q3446091	grid.252018.c	Alfred	New York	United States	http://www.alfred.edu
004srrf86		A00068	Abilene Christ U	Abilene Christian University, Texas	1139	Abilene Christian University	ACU	0000000098198422	22693291	145506369	Q1805145	grid.251705.4	Abilene	Texas	United States	http://www.acu.edu
