ROR		parent	child	short_name	canonical_name	Ringgold_id	long_name	URL	ISNI	Wikidata	Grid	?	City	State	Country
02r3ym141	A00041	A00057	Oneonta	SUNY Oneonta, New York	14825	State University of New York College at Oneonta	Oneonta College	000000012160918X	532186	132329515	Q4146980	grid.264272.7	SUNY Oneonta	Oneonta
		A00041	A00058	Oswego	SUNY Oswego, New York	14828	State University of New York at Oswego	Mary Walker Health Center	0000000419370159						
033zmj163	A00041	A00059	Plattsburgh	SUNY Plattsburgh, New York	14829	Plattsburgh State	State University College at Plattsburgh	0000000107245877	531562	139490467	Q7603626	grid.264274.1	SUNY Plattsburgh	Plattsburgh
032qgrc76	A00041	A00060	Potsdam	SUNY Potsdam, New York	14830	SUNY Potsdam	State University of New York at Potsdam	0000000099000190	532171	146866322	Q7603628	grid.264275.0	State University of New York at Potsdam	Potsdam
057trrr89	A00041	A00061	Purchase	SUNY Purchase, New York	14840	Purchase College	State University of New York Purchase	0000000101651508	394901		Q4359408	grid.264276.3	Purchase College	Purchase
			A00062	USDA	U.S. Department of Agriculture	1097	US Department of Agriculture	USDA	0000000404786311				grid.417548.b	United States Department of Agriculture	Washington D.C.
			A00063	Albion Coll	Albion College, Michigan	1098	Albion College		000000010728549X	470827	264096384	Q2831920	grid.252000.5	Albion College	Albion
			A00064	UNM	University of New Mexico	1104	University of New Mexico	University of New Mexico - Albuquerque	0000000121888502	404570	153711430	Q1190812	grid.266832.b	University of New Mexico	Albuquerque
		A00064	A11172	Dep Phy Ast	University of New Mexico, Department of Physics and Astronomy	A1172									
		A00064	A11173	Dep Ear Plan Sci	University of New Mexico, Department of Earth and Planetary Sciences	A1173									
			A00065	Sandia Natl Lab	Sandia National Laboratories, New Mexico	1105	Sandia National Laboratories	SNL	0000000121519272	155558	125491151	Q1736748	grid.85084.31	United States Department of Energy	Washington D.C.
		A00065	A11214	Livermore	Sandia National Laboratories, Livermore, California	A1214			0000000403888279	47000784			grid.85084.31	United States Department of Energy	Washington D.C.
			A00066	Charles Sturt U	Charles Sturt University	1109	Charles Sturt University	Charles Sturt University Albury-Wodonga Campus	0000000403680777	543841	267790609	Q1066188	grid.1037.5	Charles Sturt University	Bathurst
			A00067	Alfred U	Alfred University, Australia	1132	Alfred University		000000010725292X	345573	144218137	Q3446091	grid.252018.c	Alfred University	Alfred
			A00068	Abilene Christ U	Abilene Christian University, Texas	1139	Abilene Christian University	ACU	0000000098198422	22693291	145506369	Q1805145	grid.251705.4	Abilene Christian University	Abilene
			A00069	Grand Vall St U	Grand Valley State University, Michigan	1142	Grand Valley State University	GVSU	0000000122157728	275787	158472225	Q1472315	grid.256549.9	Grand Valley State University	Allendale
			A00070	Muhlenberg Coll	Muhlenberg College, Pennsylvania	1143	Muhlenberg College		000000012171588X	1107279	266749981	Q1951942	grid.260334.0	Muhlenberg College	Allentown
			A00071	Cedar Crest Coll	Cedar Crest College, Pennsylvania	1146	Cedar Crest College		0000000403686087	4906969	153684185	Q5056666	grid.418715.e	Cedar Crest College	Allentown
			A00072	Alma Coll	Alma College, Michigan	1150	Alma College		0000000096821292	991426	143133355	Q4733529	grid.252049.8	Alma College	Alma
			A00073	Georgia SW St U	Georgia Southwestern State University	1165	Georgia Southwestern State University	GSW	0000000403687784	3087350		Q5547746	grid.256303.1	Georgia Southwestern State University	Americus
			A00074	IA St U	Iowa State University	1177	Iowa State University	Iowa State University of Science and Technology	0000000419367312	14875	124858853	Q1136919	grid.34421.30	Iowa State University	Ames
041m9xr71	A00074	A00075	Ames Res Lab	Ames Research Laboratory	17210	Ames Laboratory		000000010690157X	1372885	261983190	Q4745875	grid.451319.b	Ames Laboratory	Ames
		A00074	A11110	Dep Phy Ast	Iowa State University, Department of Physics and Astronomy	A1110									
			A00076	Amherst Coll	Amherst College, Massachusetts	1180	Amherst College		0000000419367320	60355	133115330	Q49165	grid.252152.3	Amherst College	Amherst Center
		A00076	A11027	FCRAO	Five College Radio Astronomy Observatory	A1027									
			A00077	Hampshire Coll	Hampshire College, Massachusetts	1183	Hampshire College		000000012293796X	173466	145402640	Q1706859	grid.256772.3	Hampshire College	Amherst Center
		A00077	A11027	FCRAO	Five College Radio Astronomy Observatory	A1027									
